hor_codigo;hor_descricao;hor_concentracao;hor_forma_farmaceutica;hor_volume;hor_un_fornecimento
BR0395631-2;MIKANIA GLOMERATA (GUACO);0,05 ML/ML;XAROPE ;150 ML;FRASCO
BR0395728-1;MIKANIA GLOMERATA (GUACO);0,25 ML/ML;XAROPE ;100 ML;FRASCO
BR0397280;MIKANIA GLOMERATA (GUACO);0,1 ML/ML;XAROPE ;120 ML;FRASCO
BR0395728-2;MIKANIA GLOMERATA (GUACO);0,25 ML/ML;XAROPE ;120 ML;FRASCO
BR0413681-1;MIKANIA GLOMERATA (GUACO);81,5 MG/ML;SOLUÇÃO ORAL ;120 ML;FRASCO
BR0273481;MISOPROSTOL;25 MCG;COMPRIMIDO;;COMPRIMIDO
BR0273482;MISOPROSTOL;200 MCG;COMPRIMIDO;;COMPRIMIDO
BR0272326;NALOXONA, CLORIDRATO;0,4 MG/ML;SOLUÇÃO INJETÁVEL ;1 ML;AMPOLA
BR0267728-1;NIFEDIPINO;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0267728-2;NIFEDIPINO;10 MG;CÁPSULA ;;CAPSULA
BR0267378-5;NISTATINA;100.000 UI/ML;SUSPENSÃO ORAL ;120 ML;FRASCO
BR0267378-2;NISTATINA;100.000 UI/ML;SUSPENSÃO ORAL ;40 ML;FRASCO
BR0267378-3;NISTATINA;100.000 UI/ML;SUSPENSÃO ORAL ;50 ML;FRASCO
